doi	affiliations	countries	properties
10.1109/FMEC.2018.8364069	Department of Computer Science, Linnaeus University, 351 95 V&#x00E4;xj&#x00F6;, Sweden;Department of Computer Science, Linnaeus University, 351 95 V&#x00E4;xj&#x00F6;, Sweden;Department of Computer Science, Linnaeus University, 351 95 V&#x00E4;xj&#x00F6;, Sweden	Sweden	body,furniture,stakeholders,top down,context
10.1109/ICAT.2017.8171625	Dept. of Computer and Information Science, Faculty of Applied Science, KMUTNB, 1518 Bangsue, Bangkok, Thailand;IMT Lille Douai, Univ. Lille, CNRS, UMR 9189, CRIStAL, Centre de Recherche en Informatique et Automatique de Lille	Thailand	body,furniture,stakeholders,top down,participatory design
10.23919/CISTI.2018.8399236	Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade Évora, Investigadores POCTEP. 0445_4IE_4_P, Portugal;Universidade da Extremadura, Investigador POCTEP, 0445_4IE_4_P, Caceres. Espanha;Universidade da Extremadura, Investigador POCTEP, 0445_4IE_4_P, Caceres. Espanha	Portugal	body,involvement,top down
10.1109/IJCSS.2012.57		Unknown	body,top down
10.1109/WiMOB.2015.7347967	Electrical and Computer Engineering Department, Abu Dhabi University, Abu Dhabi, UAE;Electrical and Computer Engineering Department, Abu Dhabi University, Abu Dhabi, UAE;Electrical and Computer Engineering Department, Abu Dhabi University, Abu Dhabi, UAE;Electrical and Computer Engineering Department, Abu Dhabi University, Abu Dhabi, UAE	Unknown	stakeholders,participatory design,top down,wearables
10.1109/ICECENG.2011.6057832	Department of Electronic and Information Engineering, School of Information and Computer, Anhui Agricultural University, Hefei, China 230036;Department of Electronic and Information Engineering, School of Information and Computer, Anhui Agricultural University, Hefei, China 230036;Department of Electronic and Information Engineering, School of Information and Computer, Anhui Agricultural University, Hefei, China 230036;Department of Electronic and Information Engineering, School of Information and Computer, Anhui Agricultural University, Hefei, China 230036	China	body,participatory design,top down,wearables
10.1109/AEMC.2009.5430600	School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand;School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand;School of Engineering and Advance Technology, Massey University (Turitea), Palmerston North, New Zealand	New Zealand	body,involvement,furniture,top down,participatory design
10.1109/ICSEM.2010.122		Unknown	environmental,stakeholders,participatory design,top down
10.1109/ICSSSM.2010.5530089	Department of Business Administration, National Central University, No.300, Jhongda Rd., Jhongli City, Taoyuan County 32001, Taiwan (R.O.C.);Department of Business Administration, National Central University, No.300, Jhongda Rd., Jhongli City, Taoyuan County 32001, Taiwan (R.O.C.)	Taiwan	body,top down
10.15439/2017F261	University of Wisconsin-La Crosse, La Crosse, WI 54601, U.S.A.;Concordia University, Montreal, Quebec, H3G 1M8, Canada;Xi'an JiaoTong Liverpool University, Suzhou, China	Canada;China	stakeholders,participatory design,top down
10.1109/SMC.2015.252		Unknown	body,ideation,top down
10.1109/ATEQUAL.2010.30		Unknown	body,top down,workflow
10.1109/ICNTE.2015.7029932	Electronics and Telecommunication Department, Fr. C. Rodrigues Institute of Technology, Navi Mumbai, India;Electronics and Telecommunication Department, Fr. C. Rodrigues Institute of Technology, Navi Mumbai, India	India	stakeholders,ideation,top down
10.1109/GCCE.2016.7800530	Data Analytics Technology and Applications Research Institute, Institute for Information Industry, Taipei, Taiwan, R.O.C.;Data Analytics Technology and Applications Research Institute, Institute for Information Industry, Taipei, Taiwan, R.O.C.	Taiwan	body,top down,wearables
10.1109/ICOT.2017.8336091	Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan;Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan;Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan;Program for Multimedia Systems and Intelligent Computing, National Cheng Kung University and Academia Sinica, Taiwan;Program for Multimedia Systems and Intelligent Computing, National Cheng Kung University and Academia Sinica, Taiwan	Taiwan	furniture,participatory design,ideation,top down
10.1109/WI-IAT.2015.77		Unknown	involvement,stakeholders,top down
10.1109/CAIDCD.2009.5375144	School of Architecture&Art Design, Hebei University of Technology, hongqiaoqu, tianjinshi 300130, China;School of Architecture&Art Design, Hebei University of Technology, hongqiaoqu, tianjinshi 300130, China	China	participatory design,top down
10.1109/ICECTA.2017.8252040	Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan;Department of Electrical Engineering, National Taipei University of Technology, Taipei, Taiwan;Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan;Department of Information Engineering, Chaoyang University of Technology, Taichung, T aiwan;College of Information Technology, United Arab Emirates University, Al-Ain, United Arab Emirates	Taiwan;United Arab Emirates	body,top down
10.1109/APSIPA.2013.6694298	Dept. of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan;Dept. of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan;Dept. of Computer Science and Information Engineering, National Central University, Taiwan;Dept. of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan;Dept. of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan;Dept. of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan	Taiwan	involvement,stakeholders,top down
10.1109/DASC-PICom-DataCom-CyberSciTec.2017.126		Unknown	body,stakeholders,top down,participatory design,wearables
10.1109/ICS.2016.0097		Unknown	body,prototype,top down
10.1109/BIBE.2016.70		Unknown	body,stakeholders,top down,wearables
ieeexploreieeeorgstampstampjsparnumber5967066	Ss. Cyril and Methodius University, Faculty of Electrical Engineering and Information Technologies, Skopje, Macedonia;Ss. Cyril and Methodius University, Faculty of Electrical Engineering and Information Technologies, Skopje, Macedonia;Ss. Cyril and Methodius University, Faculty of Electrical Engineering and Information Technologies, Skopje, Macedonia	Macedonia	diversity,top down,body
ieeexploreieeeorgstampstampjsparnumber6174751	Dept. of robot &amp;recognition research, ETRI (Electronics and Telecommunications Research Institute), Daejeon, Korea;Dept. of robot &amp;recognition research, ETRI (Electronics and Telecommunications Research Institute), Daejeon, Korea;Dept. of Computer Science, KAIST (Korea Advanced Institute of Science and Technology), Daejeon, Korea	Unknown	body,top down
10.1109/ICOT.2014.6956632	Dept. of Electrical Engineering National Cheng Kung University Tainan;Dept. of Electrical Engineering National Cheng Kung University Tainan;Dept. of Electrical Engineering National Cheng Kung University Tainan;Dept. of Electrical Engineering National Cheng Kung University Tainan;Dept. of Electrical Engineering National Cheng Kung University Tainan;Dept. of Computer Science and Entertainment Technology, Tajen University Pingtung	Unknown	feedback,involvement,stakeholders,top down
10.1109/ICCCI.2016.7479952	Computer Science and Engineering, Government College Technology, India;Computer Science and Engineering, Government College Technology, India	India	body,stakeholders,top down,wearables
10.1109/ICMEE.2010.5558517	Department of Measurement and Control, VSB - Technical University of Ostrava, Czech Republic;Department of Measurement and Control, VSB - Technical University of Ostrava, Czech Republic	Czech Republic	participatory design,top down
10.1109/ICCCNT.2017.8204033	Department of CSE, IGDTUW	Unknown	body,furniture,prototype,top down,participatory design,wearables
ieeexploreieeeorgstampstampjsparnumber6334092	Universitat Autònoma de Barcelona Telecommunications and Systems Engineering Department;Universitat Autònoma de Barcelona Telecommunications and Systems Engineering Department;Universitat Autònoma de Barcelona Telecommunications and Systems Engineering Department;Universitat Autònoma de Barcelona Telecommunications and Systems Engineering Department	Unknown	participatory design,top down
10.1109/ICARCV.2012.6485236	IT Research Center, Hosei University, Tokyo, Japan;IT Research Center, Hosei University, Tokyo, Japan;Hosei University Research Institute, California, Burlingame, California, USA;Hosei University Research Institute, California, Burlingame, California, USA;Hosei University Research Institute, California, Burlingame, California, USA	Japan	body,top down,furniture
10.1109/NLPKE.2011.6138222	School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793;Department of Medical Welfare, Kawasaki University of Medical Welfare, Okayama, Japan;Institute of Health Biosciences, Department of Nursing, The University of Tokushima Graduate School, Japan;School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793;School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793;Institute of Health Biosciences, Department of Nursing, The University of Tokushima Graduate School, Japan	Japan	body,top down
10.1109/ICCEA.2010.237		Unknown	body,top down
10.1109/COMPSACW.2013.89		Unknown	guiding robot,top down
